date,temperature,humidity,heat_index,pressure
2025-03-23T00:00:01+08:00,22.17,61.68,22.17,1005.13
2025-03-23T00:01:00+08:00,22.08,61.98,22.08,1005.17
2025-03-23T00:02:00+08:00,22.05,61.55,22.05,1005.14
2025-03-23T00:03:01+08:00,22.14,61.49,22.14,1005.18
2025-03-23T00:04:00+08:00,22.08,61.36,22.08,1005.19
2025-03-23T00:05:00+08:00,21.88,61.86,21.88,1005.14
2025-03-23T00:06:01+08:00,22.1,61.72,22.1,1005.08
2025-03-23T00:07:01+08:00,22.06,62.46,22.06,1005.12
2025-03-23T00:08:00+08:00,22.05,61.45,22.05,1005.13
2025-03-23T00:09:02+08:00,21.97,61.42,21.97,1005.14
2025-03-23T00:10:01+08:00,22.01,62.09,22.01,1005.16
2025-03-23T00:11:00+08:00,22.05,61.28,22.05,1005.14
2025-03-23T00:12:00+08:00,22.16,61.4,22.16,1005.17
2025-03-23T00:13:01+08:00,21.99,61.18,21.99,1005.23
2025-03-23T00:14:01+08:00,22.1,61.35,22.1,1005.27
2025-03-23T00:15:00+08:00,22.1,61.65,22.1,1005.25
2025-03-23T00:16:01+08:00,22.14,61.21,22.14,1005.19
2025-03-23T00:17:01+08:00,22.19,61.62,22.19,1005.23
2025-03-23T00:18:00+08:00,22.23,61.28,22.23,1005.26
2025-03-23T00:19:00+08:00,22.08,60.17,22.08,1005.24
2025-03-23T00:20:01+08:00,22.16,61.16,22.16,1005.24
2025-03-23T00:21:01+08:00,22.17,60.72,22.17,1005.21
2025-03-23T00:22:00+08:00,22.17,61.25,22.17,1005.25
2025-03-23T00:23:01+08:00,22.1,61.19,22.1,1005.26
2025-03-23T00:24:01+08:00,22.06,61.0,22.06,1005.27
2025-03-23T00:25:00+08:00,22.16,60.95,22.16,1005.27
2025-03-23T00:26:00+08:00,22.1,61.21,22.1,1005.29
2025-03-23T00:27:01+08:00,22.08,60.93,22.08,1005.24
2025-03-23T00:28:00+08:00,22.08,61.23,22.08,1005.25
2025-03-23T00:29:00+08:00,22.16,60.61,22.16,1005.33
2025-03-23T00:30:01+08:00,22.12,60.93,22.12,1005.26
2025-03-23T00:31:01+08:00,22.16,60.6,22.16,1005.31
2025-03-23T00:32:00+08:00,22.19,61.05,22.19,1005.36
2025-03-23T00:33:02+08:00,22.12,61.16,22.12,1005.32
2025-03-23T00:34:01+08:00,22.17,61.01,22.17,1005.3
2025-03-23T00:35:00+08:00,22.05,60.82,22.05,1005.33
2025-03-23T00:36:00+08:00,22.27,60.89,22.27,1005.35
2025-03-23T00:37:01+08:00,22.25,61.04,22.25,1005.36
2025-03-23T00:38:01+08:00,22.03,60.77,22.03,1005.34
2025-03-23T00:39:00+08:00,22.19,60.56,22.19,1005.38
2025-03-23T00:40:02+08:00,22.05,59.83,22.05,1005.3
2025-03-23T00:41:01+08:00,22.12,61.06,22.12,1005.28
2025-03-23T00:42:00+08:00,22.17,60.72,22.17,1005.3
2025-03-23T00:43:00+08:00,22.14,60.64,22.14,1005.29
2025-03-23T00:44:01+08:00,22.21,60.77,22.21,1005.28
2025-03-23T00:45:01+08:00,22.27,60.57,22.27,1005.32
2025-03-23T00:46:00+08:00,22.27,60.91,22.27,1005.29
2025-03-23T00:47:01+08:00,22.14,60.43,22.14,1005.33
2025-03-23T00:48:01+08:00,22.25,60.93,22.25,1005.3
2025-03-23T00:49:00+08:00,22.14,60.52,22.14,1005.34
2025-03-23T00:50:00+08:00,22.1,60.8,22.1,1005.35
2025-03-23T00:51:01+08:00,22.12,61.04,22.12,1005.34
2025-03-23T00:52:00+08:00,22.29,60.56,22.29,1005.34
2025-03-23T00:53:00+08:00,22.14,60.59,22.14,1005.29
2025-03-23T00:54:01+08:00,21.97,60.51,21.97,1005.27
2025-03-23T00:55:01+08:00,22.05,60.53,22.05,1005.29
2025-03-23T00:56:00+08:00,22.1,60.66,22.1,1005.29
2025-03-23T00:57:00+08:00,22.17,60.66,22.17,1005.29
2025-03-23T00:58:01+08:00,22.27,60.42,22.27,1005.33
2025-03-23T00:59:00+08:00,22.23,60.2,22.23,1005.34
2025-03-23T01:00:00+08:00,22.21,60.94,22.21,1005.35
2025-03-23T01:01:01+08:00,22.34,60.56,22.34,1005.31
2025-03-23T01:02:01+08:00,22.16,60.78,22.16,1005.36
2025-03-23T01:03:00+08:00,22.21,60.58,22.21,1005.38
2025-03-23T01:04:02+08:00,22.27,60.72,22.27,1005.38
2025-03-23T01:05:01+08:00,22.21,60.65,22.21,1005.33
2025-03-23T01:06:00+08:00,22.14,60.77,22.14,1005.35
2025-03-23T01:07:00+08:00,22.23,60.76,22.23,1005.36
2025-03-23T01:08:01+08:00,22.12,60.43,22.12,1005.4
2025-03-23T01:09:01+08:00,22.23,60.51,22.23,1005.4
2025-03-23T01:10:00+08:00,22.21,60.72,22.21,1005.43
2025-03-23T01:11:01+08:00,22.17,60.54,22.17,1005.4
2025-03-23T01:12:01+08:00,22.14,60.67,22.14,1005.42
2025-03-23T01:13:00+08:00,22.14,60.54,22.14,1005.41
2025-03-23T01:14:00+08:00,22.29,60.53,22.29,1005.43
2025-03-23T01:15:01+08:00,22.19,60.81,22.19,1005.45
2025-03-23T01:16:01+08:00,22.16,60.42,22.16,1005.44
2025-03-23T01:17:00+08:00,22.19,60.6,22.19,1005.47
2025-03-23T01:18:02+08:00,22.1,60.34,22.1,1005.49
2025-03-23T01:19:01+08:00,22.34,60.73,22.34,1005.52
2025-03-23T01:20:00+08:00,22.23,59.97,22.23,1005.51
2025-03-23T01:21:00+08:00,22.16,60.6,22.16,1005.54
2025-03-23T01:22:01+08:00,22.12,60.54,22.12,1005.56
2025-03-23T01:23:01+08:00,22.08,60.82,22.08,1005.6
2025-03-23T01:24:00+08:00,22.23,60.64,22.23,1005.56
2025-03-23T01:25:01+08:00,22.1,60.72,22.1,1005.55
2025-03-23T01:26:01+08:00,22.23,61.0,22.23,1005.53
2025-03-23T01:27:00+08:00,22.19,60.92,22.19,1005.58
2025-03-23T01:28:00+08:00,22.19,60.55,22.19,1005.5
2025-03-23T01:29:01+08:00,22.23,60.61,22.23,1005.51
2025-03-23T01:30:01+08:00,22.17,60.62,22.17,1005.49
2025-03-23T01:31:00+08:00,22.14,60.61,22.14,1005.53
2025-03-23T01:32:01+08:00,22.27,60.79,22.27,1005.47
2025-03-23T01:33:01+08:00,22.14,60.75,22.14,1005.49
2025-03-23T01:34:00+08:00,22.21,61.04,22.21,1005.49
2025-03-23T01:35:00+08:00,22.03,60.85,22.03,1005.47
2025-03-23T01:36:01+08:00,22.08,61.53,22.08,1005.45
2025-03-23T01:37:00+08:00,22.14,61.0,22.14,1005.47
2025-03-23T01:38:00+08:00,22.08,60.6,22.08,1005.44
2025-03-23T01:39:01+08:00,22.08,60.64,22.08,1005.46
2025-03-23T01:40:01+08:00,22.03,60.9,22.03,1005.45
2025-03-23T01:41:00+08:00,22.05,60.47,22.05,1005.43
2025-03-23T01:42:00+08:00,22.06,60.33,22.06,1005.47
2025-03-23T01:43:01+08:00,21.93,60.47,21.93,1005.4
2025-03-23T01:44:00+08:00,22.06,60.4,22.06,1005.34
2025-03-23T01:45:00+08:00,22.05,60.72,22.05,1005.38
2025-03-23T01:46:01+08:00,22.01,60.93,22.01,1005.34
2025-03-23T01:47:01+08:00,22.03,60.94,22.03,1005.36
2025-03-23T01:48:00+08:00,22.06,60.26,22.06,1005.41
2025-03-23T01:49:02+08:00,21.95,60.66,21.95,1005.37
2025-03-23T01:50:01+08:00,21.92,59.94,21.92,1005.38
2025-03-23T01:51:00+08:00,22.03,60.5,22.03,1005.37
2025-03-23T01:52:00+08:00,21.86,60.89,21.86,1005.36
2025-03-23T01:53:01+08:00,22.05,60.96,22.05,1005.33
2025-03-23T01:54:01+08:00,21.95,60.97,21.95,1005.38
2025-03-23T01:55:00+08:00,22.06,60.76,22.06,1005.35
2025-03-23T01:56:02+08:00,21.95,60.81,21.95,1005.37
2025-03-23T01:57:01+08:00,22.01,60.84,22.01,1005.33
2025-03-23T01:58:00+08:00,21.99,60.94,21.99,1005.36
2025-03-23T01:59:00+08:00,22.05,61.03,22.05,1005.35
2025-03-23T02:00:01+08:00,21.97,61.02,21.97,1005.4
2025-03-23T02:01:01+08:00,22.03,61.18,22.03,1005.43
2025-03-23T02:02:00+08:00,22.03,61.11,22.03,1005.37
2025-03-23T02:03:01+08:00,22.05,60.87,22.05,1005.37
2025-03-23T02:04:01+08:00,21.92,60.73,21.92,1005.37
2025-03-23T02:05:00+08:00,22.14,60.96,22.14,1005.34
2025-03-23T02:06:00+08:00,22.08,61.01,22.08,1005.35
2025-03-23T02:07:01+08:00,22.1,61.35,22.1,1005.32
2025-03-23T02:08:00+08:00,22.12,61.06,22.12,1005.35
2025-03-23T02:09:00+08:00,22.1,60.86,22.1,1005.38
2025-03-23T02:10:01+08:00,22.03,61.14,22.03,1005.3
2025-03-23T02:11:01+08:00,21.92,60.71,21.92,1005.34
2025-03-23T02:12:00+08:00,21.95,60.96,21.95,1005.33
2025-03-23T02:13:02+08:00,22.03,61.4,22.03,1005.35
2025-03-23T02:14:01+08:00,21.99,61.25,21.99,1005.36
2025-03-23T02:15:00+08:00,21.99,61.31,21.99,1005.31
2025-03-23T02:16:00+08:00,22.08,60.66,22.08,1005.29
2025-03-23T02:17:01+08:00,22.06,61.4,22.06,1005.36
2025-03-23T02:18:01+08:00,21.82,61.28,21.82,1005.31
2025-03-23T02:19:00+08:00,22.01,61.61,22.01,1005.34
2025-03-23T02:20:02+08:00,21.99,61.45,21.99,1005.23
2025-03-23T02:21:01+08:00,21.88,62.12,21.88,1005.26
2025-03-23T02:22:00+08:00,21.95,61.43,21.95,1005.2
2025-03-23T02:23:00+08:00,22.12,61.56,22.12,1005.23
2025-03-23T02:24:01+08:00,22.06,61.13,22.06,1005.23
2025-03-23T02:25:01+08:00,21.8,61.47,21.8,1005.19
2025-03-23T02:26:00+08:00,22.01,61.4,22.01,1005.14
2025-03-23T02:27:01+08:00,22.03,61.53,22.03,1005.14
2025-03-23T02:28:01+08:00,22.08,61.81,22.08,1005.1
2025-03-23T02:29:00+08:00,21.99,61.41,21.99,1005.08
2025-03-23T02:30:00+08:00,22.01,62.07,22.01,1005.07
2025-03-23T02:31:01+08:00,22.19,62.4,22.19,1005.07
2025-03-23T02:32:01+08:00,22.03,61.88,22.03,1005.1
2025-03-23T02:33:00+08:00,21.99,62.08,21.99,1005.04
2025-03-23T02:34:01+08:00,21.88,61.74,21.88,1005.1
2025-03-23T02:35:01+08:00,21.88,61.75,21.88,1005.11
2025-03-23T02:36:00+08:00,22.01,61.58,22.01,1005.06
2025-03-23T02:37:00+08:00,21.97,61.98,21.97,1005.08
2025-03-23T02:38:01+08:00,21.95,61.47,21.95,1005.04
2025-03-23T02:39:01+08:00,22.01,61.49,22.01,1005.04
2025-03-23T02:40:00+08:00,21.92,61.62,21.92,1005.03
2025-03-23T02:41:01+08:00,21.97,61.88,21.97,1004.99
2025-03-23T02:42:01+08:00,22.08,61.08,22.08,1005.04
2025-03-23T02:43:00+08:00,22.12,61.81,22.12,1004.96
2025-03-23T02:44:00+08:00,21.99,61.69,21.99,1004.99
2025-03-23T02:45:01+08:00,22.16,62.76,22.16,1005.05
2025-03-23T02:46:00+08:00,22.01,61.88,22.01,1004.98
2025-03-23T02:47:00+08:00,21.97,62.18,21.97,1004.92
2025-03-23T02:48:01+08:00,22.12,62.33,22.12,1004.88
2025-03-23T02:49:01+08:00,21.95,62.16,21.95,1004.85
2025-03-23T02:50:00+08:00,22.03,61.93,22.03,1004.84
2025-03-23T02:51:02+08:00,21.93,62.15,21.93,1004.8
2025-03-23T02:52:01+08:00,22.06,61.79,22.06,1004.81
2025-03-23T02:53:00+08:00,21.95,62.69,21.95,1004.79
2025-03-23T02:54:00+08:00,21.88,62.31,21.88,1004.83
2025-03-23T02:55:01+08:00,22.08,62.28,22.08,1004.85
2025-03-23T02:56:01+08:00,21.9,62.65,21.9,1004.81
2025-03-23T02:57:00+08:00,21.82,62.33,21.82,1004.75
2025-03-23T02:58:02+08:00,21.97,62.61,21.97,1004.73
